"year","month","site","deployment_location","temp_monthly_mean","tot_obs"
2001,12,"Heron Island","reef slope",26.4,1488
2002,1,"Heron Island","reef slope",27.61,1488
2002,2,"Heron Island","reef slope",28.03,1344
2002,3,"Heron Island","reef slope",26.96,1488
2002,4,"Heron Island","reef slope",25.4,1440
2002,5,"Heron Island","reef slope",23.84,220
2004,4,"Heron Island","reef slope",25.3,788
2004,5,"Heron Island","reef slope",24.01,1487
2004,6,"Heron Island","reef slope",22.1,1440
2004,7,"Heron Island","reef slope",20.98,1488
2004,8,"Heron Island","reef slope",21.16,1488
2004,9,"Heron Island","reef slope",21.38,1440
2004,10,"Heron Island","reef slope",22.71,1488
2004,11,"Heron Island","reef slope",24.46,1439
2004,12,"Heron Island","reef slope",25.84,1488
2005,1,"Heron Island","reef slope",26.41,1488
2005,2,"Heron Island","reef slope",26.92,1344
2005,3,"Heron Island","reef slope",26.61,1488
2005,4,"Heron Island","reef slope",25.16,1439
2005,5,"Heron Island","reef slope",23.9,1488
2005,6,"Heron Island","reef slope",22.24,1440
2005,7,"Heron Island","reef slope",21.2,1488
2005,8,"Heron Island","reef slope",20.94,1488
2005,9,"Heron Island","reef slope",21.64,1440
2005,10,"Heron Island","reef slope",23.29,1484
2005,11,"Heron Island","reef slope",25.11,1440
2005,12,"Heron Island","reef slope",25.99,316
2007,4,"Heron Island","reef slope",25.19,644
2007,5,"Heron Island","reef slope",24.41,1488
2007,6,"Heron Island","reef slope",22.66,1440
2007,7,"Heron Island","reef slope",20.9,1488
2007,8,"Heron Island","reef slope",20.89,1488
2007,9,"Heron Island","reef slope",21.53,1440
2007,10,"Heron Island","reef slope",22.82,1488
2007,11,"Heron Island","reef slope",23.98,1440
2007,12,"Heron Island","reef slope",25.37,1488
2008,1,"Heron Island","reef slope",26.38,1488
2008,2,"Heron Island","reef slope",26.33,1392
2008,3,"Heron Island","reef slope",25.35,1488
2008,4,"Heron Island","reef slope",24.53,1440
2008,5,"Heron Island","reef slope",23.48,1392
2008,6,"Heron Island","reef slope",22.61,1440
2008,7,"Heron Island","reef slope",21.46,1488
2008,8,"Heron Island","reef slope",20.93,1488
2008,9,"Heron Island","reef slope",21.76,1440
2008,10,"Heron Island","reef slope",23.38,1036
2009,4,"Heron Island","reef slope",25.35,1212
2009,5,"Heron Island","reef slope",23.58,4464
2009,6,"Heron Island","reef slope",22.54,4320
2009,7,"Heron Island","reef slope",21.11,4464
2009,8,"Heron Island","reef slope",21.05,4464
2009,9,"Heron Island","reef slope",22.57,4320
2009,10,"Heron Island","reef slope",23.15,4464
2009,11,"Heron Island","reef slope",24.48,4320
2009,12,"Heron Island","reef slope",26.37,4464
2010,1,"Heron Island","reef slope",27.04,4464
2010,2,"Heron Island","reef slope",27.06,4032
2010,3,"Heron Island","reef slope",26.47,4464
2010,4,"Heron Island","reef slope",25.67,4176
2010,5,"Heron Island","reef slope",24.35,4464
2010,6,"Heron Island","reef slope",22.52,4320
2010,7,"Heron Island","reef slope",21.98,4464
2010,8,"Heron Island","reef slope",22.07,4464
2010,9,"Heron Island","reef slope",22.45,1584
2010,10,"Heron Island","reef slope",23.36,4464
2010,11,"Heron Island","reef slope",24.28,4320
2010,12,"Heron Island","reef slope",25.99,4464
2011,1,"Heron Island","reef slope",27.04,4464
2011,2,"Heron Island","reef slope",27.43,4032
2011,3,"Heron Island","reef slope",26.57,4320
2011,4,"Heron Island","reef slope",25.11,4320
2011,5,"Heron Island","reef slope",23.46,4464
2011,6,"Heron Island","reef slope",22.14,4320
2011,7,"Heron Island","reef slope",20.97,4464
2011,8,"Heron Island","reef slope",20.57,4320
2011,9,"Heron Island","reef slope",20.96,4320
2011,10,"Heron Island","reef slope",22.01,4464
2011,11,"Heron Island","reef slope",23.99,4320
2011,12,"Heron Island","reef slope",24.75,4464
2012,1,"Heron Island","reef slope",25.33,4464
2012,2,"Heron Island","reef slope",26.52,4176
2012,3,"Heron Island","reef slope",26.01,4116
2013,3,"Heron Island","reef slope",25.97,636
2013,4,"Heron Island","reef slope",25.04,4320
2013,5,"Heron Island","reef slope",23.6,4464
2013,6,"Heron Island","reef slope",22.23,4320
2013,7,"Heron Island","reef slope",21.23,4464
2013,8,"Heron Island","reef slope",21.53,4464
2013,9,"Heron Island","reef slope",22.06,4320
2013,10,"Heron Island","reef slope",23.74,4464
2013,11,"Heron Island","reef slope",24.78,4320
2013,12,"Heron Island","reef slope",25.73,4464
2014,1,"Heron Island","reef slope",26.36,4464
2014,2,"Heron Island","reef slope",26.08,4032
2014,3,"Heron Island","reef slope",25.8,4464
2014,4,"Heron Island","reef slope",25.42,4176
2014,5,"Heron Island","reef slope",23.47,4464
2014,6,"Heron Island","reef slope",22.41,4320
2014,7,"Heron Island","reef slope",21.09,4464
2014,8,"Heron Island","reef slope",20.55,4464
2014,9,"Heron Island","reef slope",21.49,4320
2014,10,"Heron Island","reef slope",22.46,4320
2014,11,"Heron Island","reef slope",24,4320
2014,12,"Heron Island","reef slope",25.6,4464
2015,1,"Heron Island","reef slope",26.9,4464
2015,2,"Heron Island","reef slope",26.86,4032
2015,3,"Heron Island","reef slope",27.24,4116
2016,10,"Heron Island","reef slope",23.33,3372
2016,11,"Heron Island","reef slope",24.43,4320
2016,12,"Heron Island","reef slope",26.06,4464
2017,1,"Heron Island","reef slope",26.84,4464
2017,2,"Heron Island","reef slope",27.69,4032
2017,3,"Heron Island","reef slope",27.64,4464
2017,4,"Heron Island","reef slope",25.63,4320
2017,5,"Heron Island","reef slope",24.07,4464
2017,6,"Heron Island","reef slope",22.83,4320
2017,7,"Heron Island","reef slope",22.37,4464
2017,8,"Heron Island","reef slope",22.57,4464
2017,9,"Heron Island","reef slope",23.64,4031
2017,10,"Heron Island","reef slope",23.89,4464
2017,11,"Heron Island","reef slope",24.39,4320
2017,12,"Heron Island","reef slope",25.86,4464
2018,1,"Heron Island","reef slope",27.04,4464
2018,2,"Heron Island","reef slope",26.91,4032
2018,3,"Heron Island","reef slope",26.58,4464
2018,4,"Heron Island","reef slope",25.54,4320
2018,5,"Heron Island","reef slope",24.07,4464
2018,6,"Heron Island","reef slope",22.32,4320
2018,7,"Heron Island","reef slope",21.94,4464
2018,8,"Heron Island","reef slope",21.54,4464
2018,9,"Heron Island","reef slope",21.85,4320
2018,10,"Heron Island","reef slope",22.98,4319
2018,11,"Heron Island","reef slope",24.48,4320
2018,12,"Heron Island","reef slope",25.67,4464
2019,1,"Heron Island","reef slope",26.43,4464
2019,2,"Heron Island","reef slope",26.86,4032
2019,3,"Heron Island","reef slope",26.81,4464
2019,4,"Heron Island","reef slope",25.45,8268
2019,5,"Heron Island","reef slope",23.96,8928
2019,6,"Heron Island","reef slope",22.29,8640
2019,7,"Heron Island","reef slope",21.71,8928
2019,8,"Heron Island","reef slope",21.44,8928
2019,9,"Heron Island","reef slope",22.09,12444
2019,10,"Heron Island","reef slope",22.89,13392
2019,11,"Heron Island","reef slope",24.31,12960
2019,12,"Heron Island","reef slope",26.09,13392
2020,1,"Heron Island","reef slope",27.1,13392
2020,2,"Heron Island","reef slope",28.31,12528
2020,3,"Heron Island","reef slope",27.03,13392
2020,4,"Heron Island","reef slope",26.09,12960
2020,5,"Heron Island","reef slope",23.98,13392
2020,6,"Heron Island","reef slope",22.57,12528
2020,7,"Heron Island","reef slope",21.56,13392
2020,8,"Heron Island","reef slope",21.23,13392
2020,9,"Heron Island","reef slope",21.79,12960
2020,10,"Heron Island","reef slope",23.33,13392
2020,11,"Heron Island","reef slope",24.64,12960
2020,12,"Heron Island","reef slope",25.88,7164
